Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing,Availability,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Diego Moreira,Midfielder,Chelsea,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Lyon,0,236,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:11",681,"Tue Dec 19, 16:15:01"
Dier,Defender,Spurs,4.2,0,0,0,0,0,0,3.7,18,,,,100,Available,,0.5,31523,228,95624,556,146,0,0,0,6,3.7,0,0,0,0,0,0,0,34.2,0.9,2,,"Sun Dec 3, 23:30",496,"Tue Dec 19, 16:15:02"
Dodgson,Defender,Burnley,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Barnsley,0,467,0,3381,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 21:48",622,"Tue Dec 19, 16:15:01"
Dorrington,Defender,Spurs,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1116,60,521,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,740,"Tue Dec 19, 16:15:02"
Downes,Midfielder,West Ham,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Southampton,0,126,0,1979,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Aug 23, 08:39",531,"Tue Dec 19, 16:15:02"
Dräger,Defender,Nottm Forest,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Transferred to Basel,0.1,796,0,10248,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 28, 07:58",444,"Tue Dec 19, 16:15:01"
Duffus,Midfielder,Brighton,4.4,0,0,0,0,0,0,0,0,,,,100,Available,,0,169,8,97,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,747,"Tue Dec 19, 16:15:01"
Ebiowei,Midfielder,Crystal Palace,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,2060,12,5629,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 17, 14:00",224,"Tue Dec 19, 16:15:01"
Egan-Riley,Defender,Burnley,3.9,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0.2,21475,110,18344,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,166,"Tue Dec 19, 16:15:01"
Fabinho,Midfielder,Liverpool,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent Transfer to Al-Ittihad,0,0,0,1093,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Tue Aug 1, 09:50",296,"Tue Dec 19, 16:15:01"
Fernandez,Defender,Man Utd,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Granada CF,0.1,5187,0,24972,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sat Sep 2, 08:57",380,"Tue Dec 19, 16:15:01"
Forson,Midfielder,Man Utd,4.4,0,0,0,0,0,0.5,0,0,,,,100,Available,,0,957,14,1319,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,632,"Tue Dec 19, 16:15:01"
Forster,Goalkeeper,Spurs,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,2,37360,246,209493,2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 11, 16:00",498,"Tue Dec 19, 16:15:02"
Franchi,Goalkeeper,Burnley,3.9,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0.2,9862,47,11657,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,169,"Tue Dec 19, 16:15:01"
Francis-Clarke,Defender,Luton,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Dagenham and Redbridge,0,713,0,1347,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Sep 11, 14:13",648,"Tue Dec 19, 16:15:01"
